Freq(MHz),Loss
4290.3125,-84.40
4302.5,-84.57
4314.6875,-81.87
4326.875,-77.58
4339.0625,-83.36
4351.25,-80.06
4363.4375,-80.86
4375.625,-84.42
4387.8125,-81.52
4400,-86.06
4412.1875,-76.42
4424.375,-79.79
4436.5625,-84.40
4448.75,-72.31
4460.9375,-79.42
4473.125,-75.72
4485.3125,-81.45
4497.5,-85.27
4509.6875,-78.54
4521.875,-83.21
4534.0625,-77.53
4546.25,-80.81
4558.4375,-87.35
4570.625,-77.00
4582.8125,-80.62
4595,-84.25
4607.1875,-77.34
4619.375,-81.47
4631.5625,-82.03
4643.75,-77.59
4655.9375,-98.37
4668.125,-78.29
4680.3125,-78.29
4692.5,-80.75
4704.6875,-78.35
4716.875,-80.83
4729.0625,-79.26
4741.25,-87.20
4753.4375,-82.53
4765.625,-90.02
4777.8125,-75.99
4790,-84.19
4802.1875,-81.05
4814.375,-81.68
4826.5625,-86.95
4838.75,-78.71
4850.9375,-82.38
4863.125,-77.10
4875.3125,-98.51
4887.5,-84.99
4899.6875,-81.86
4911.875,-78.59
4924.0625,-74.65
4936.25,-86.37
4948.4375,-91.39
4960.625,-76.38
4972.8125,-87.80
4985,-78.90
4997.1875,-81.46
5009.375,-76.40
5021.5625,-86.00
5033.75,-76.61
5045.9375,-82.05
5058.125,-89.54
5070.3125,-76.19
5082.5,-81.85
5094.6875,-82.97
5106.875,-89.23
5119.0625,-82.02
5131.25,-84.21
5143.4375,-83.22
5155.625,-87.28
5167.8125,-80.28
5180,-73.85
5192.1875,-87.79
5204.375,-77.78
5216.5625,-86.57
5228.75,-84.18
5240.9375,-77.33
5253.125,-83.49
5265.3125,-75.20
5277.5,-76.32
5289.6875,-84.29
5301.875,-104.85
5314.0625,-80.07
5326.25,-95.69
5338.4375,-82.80
5350.625,-94.66
5362.8125,-82.43
5375,-88.79
5387.1875,-78.23
5399.375,-87.94
5411.5625,-88.88
5423.75,-85.62
5435.9375,-89.24
5448.125,-81.04
5460.3125,-87.48
5472.5,-90.62
5484.6875,-79.12
5496.875,-78.15
5509.0625,-82.67
5521.25,-83.20
5533.4375,-83.48
5545.625,-83.50
5557.8125,-76.42
5570,-84.36
5582.1875,-82.10
5594.375,-85.60
5606.5625,-78.95
5618.75,-80.74
5630.9375,-75.13
5643.125,-87.37
5655.3125,-82.43
5667.5,-96.00
5679.6875,-85.30
5691.875,-83.01
5704.0625,-76.59
5716.25,-75.64
5728.4375,-74.07
5740.625,-84.47
5752.8125,-74.81
5765,-91.36
5777.1875,-77.28
5789.375,-87.26
5801.5625,-84.30
5813.75,-88.42
5825.9375,-88.60
5838.125,-78.77
5850.3125,-80.99
5862.5,-76.75
5874.6875,-79.29
5886.875,-73.32
5899.0625,-69.67
5911.25,-74.86
5923.4375,-77.70
5935.625,-72.72
5947.8125,-68.62
5960,-66.86
5972.1875,-68.61
5984.375,-67.71
5996.5625,-62.06
6008.75,-61.86
6020.9375,-58.42
6033.125,-57.16
6045.3125,-55.21
6057.5,-52.78
6069.6875,-50.74
6081.875,-47.74
6094.0625,-46.00
6106.25,-44.05
6118.4375,-42.36
6130.625,-40.84
6142.8125,-39.74
6155,-38.03
6167.1875,-36.44
6179.375,-34.46
6191.5625,-32.21
6203.75,-29.56
6215.9375,-26.82
6228.125,-23.89
6240.3125,-20.96
6252.5,-18.11
6264.6875,-15.60
6276.875,-13.51
6289.0625,-11.84
6301.25,-10.48
6313.4375,-9.45
6325.625,-8.72
6337.8125,-8.32
6350,-8.20
6362.1875,-8.24
6374.375,-8.24
6386.5625,-8.01
6398.75,-7.65
6410.9375,-7.29
6423.125,-7.02
6435.3125,-6.83
6447.5,-6.72
6459.6875,-6.72
6471.875,-6.77
6484.0625,-6.81
6496.25,-6.76
6508.4375,-6.66
6520.625,-6.59
6532.8125,-6.56
6545,-6.51
6557.1875,-6.44
6569.375,-6.43
6581.5625,-6.47
6593.75,-6.52
6605.9375,-6.51
6618.125,-6.44
6630.3125,-6.36
6642.5,-6.31
6654.6875,-6.29
6666.875,-6.26
6679.0625,-6.20
6691.25,-6.18
6703.4375,-6.22
6715.625,-6.28
6727.8125,-6.30
6740,-6.23
6752.1875,-6.14
6764.375,-6.08
6776.5625,-6.05
6788.75,-6.02
6800.9375,-5.97
6813.125,-5.97
6825.3125,-6.03
6837.5,-6.11
6849.6875,-6.17
6861.875,-6.20
6874.0625,-6.25
6886.25,-6.34
6898.4375,-6.44
6910.625,-6.44
6922.8125,-6.34
6935,-6.19
6947.1875,-6.06
6959.375,-5.99
6971.5625,-5.96
6983.75,-5.91
6995.9375,-5.87
7008.125,-5.89
7020.3125,-5.96
7032.5,-6.02
7044.6875,-6.03
7056.875,-5.99
7069.0625,-5.95
7081.25,-5.95
7093.4375,-5.97
7105.625,-5.96
7117.8125,-5.91
7130,-5.85
7142.1875,-5.83
7154.375,-5.86
7166.5625,-5.87
7178.75,-5.85
7190.9375,-5.85
7203.125,-5.88
7215.3125,-5.94
7227.5,-5.96
7239.6875,-5.92
7251.875,-5.87
7264.0625,-5.82
7276.25,-5.84
7288.4375,-5.87
7300.625,-5.88
7312.8125,-5.87
7325,-5.88
7337.1875,-5.95
7349.375,-6.05
7361.5625,-6.09
7373.75,-6.06
7385.9375,-6.01
7398.125,-5.96
7410.3125,-5.95
7422.5,-5.94
7434.6875,-5.90
7446.875,-5.84
7459.0625,-5.82
7471.25,-5.84
7483.4375,-5.88
7495.625,-5.91
7507.8125,-5.93
7520,-5.97
7532.1875,-6.07
7544.375,-6.17
7556.5625,-6.22
7568.75,-6.19
7580.9375,-6.13
7593.125,-6.08
7605.3125,-6.08
7617.5,-6.08
7629.6875,-6.03
7641.875,-5.97
7654.0625,-5.92
7666.25,-5.92
7678.4375,-5.97
7690.625,-6.00
7702.8125,-5.98
7715,-5.94
7727.1875,-5.93
7739.375,-5.96
7751.5625,-5.97
7763.75,-5.96
7775.9375,-5.90
7788.125,-5.85
7800.3125,-5.84
7812.5,-5.86
7824.6875,-5.87
7836.875,-5.87
7849.0625,-5.92
7861.25,-6.02
7873.4375,-6.12
7885.625,-6.21
7897.8125,-6.22
7910,-6.18
7922.1875,-6.15
7934.375,-6.17
7946.5625,-6.19
7958.75,-6.16
7970.9375,-6.08
7983.125,-5.99
7995.3125,-5.95
8007.5,-5.95
8019.6875,-5.96
8031.875,-5.95
8044.0625,-5.93
8056.25,-5.95
8068.4375,-6.00
8080.625,-6.06
8092.8125,-6.05
8105,-6.00
8117.1875,-5.94
8129.375,-5.91
8141.5625,-5.92
8153.75,-5.91
8165.9375,-5.89
8178.125,-5.87
8190.3125,-5.91
8202.5,-6.00
8214.6875,-6.08
8226.875,-6.13
8239.0625,-6.14
8251.25,-6.15
8263.4375,-6.22
8275.625,-6.31
8287.8125,-6.36
8300,-6.33
8312.1875,-6.24
8324.375,-6.14
8336.5625,-6.08
8348.75,-6.05
8360.9375,-6.02
8373.125,-5.97
8385.3125,-5.93
8397.5,-5.92
8409.6875,-5.93
8421.875,-5.94
8434.0625,-5.94
8446.25,-5.95
8458.4375,-5.98
8470.625,-6.05
8482.8125,-6.09
8495,-6.09
8507.1875,-6.07
8519.375,-6.04
8531.5625,-6.09
8543.75,-6.13
8555.9375,-6.15
8568.125,-6.12
8580.3125,-6.11
8592.5,-6.12
8604.6875,-6.19
8616.875,-6.28
8629.0625,-6.29
8641.25,-6.25
8653.4375,-6.17
8665.625,-6.11
8677.8125,-6.12
8690,-6.12
8702.1875,-6.11
8714.375,-6.08
8726.5625,-6.05
8738.75,-6.07
8750.9375,-6.09
8763.125,-6.09
8775.3125,-6.12
8787.5,-6.18
8799.6875,-6.28
8811.875,-6.41
8824.0625,-6.46
8836.25,-6.46
8848.4375,-6.42
8860.625,-6.36
8872.8125,-6.35
8885,-6.36
8897.1875,-6.33
8909.375,-6.30
8921.5625,-6.20
8933.75,-6.11
8945.9375,-6.10
8958.125,-6.06
8970.3125,-6.03
8982.5,-6.04
8994.6875,-6.04
9006.875,-6.09
9019.0625,-6.14
9031.25,-6.11
9043.4375,-6.09
9055.625,-6.06
9067.8125,-6.02
9080,-6.04
9092.1875,-6.05
9104.375,-6.06
9116.5625,-6.09
9128.75,-6.15
9140.9375,-6.22
9153.125,-6.28
9165.3125,-6.32
9177.5,-6.35
9189.6875,-6.41
9201.875,-6.47
9214.0625,-6.63
9226.25,-6.69
9238.4375,-6.67
9250.625,-6.59
9262.8125,-6.49
9275,-6.38
9287.1875,-6.37
9299.375,-6.35
9311.5625,-6.32
9323.75,-6.30
9335.9375,-6.30
9348.125,-6.26
9360.3125,-6.27
9372.5,-6.28
9384.6875,-6.32
9396.875,-6.38
9409.0625,-6.48
9421.25,-6.56
9433.4375,-6.60
9445.625,-6.56
9457.8125,-6.52
9470,-6.47
9482.1875,-6.45
9494.375,-6.43
9506.5625,-6.41
9518.75,-6.36
9530.9375,-6.31
9543.125,-6.30
9555.3125,-6.28
9567.5,-6.26
9579.6875,-6.27
9591.875,-6.27
9604.0625,-6.32
9616.25,-6.39
9628.4375,-6.42
9640.625,-6.44
9652.8125,-6.40
9665,-6.37
9677.1875,-6.33
9689.375,-6.35
9701.5625,-6.37
9713.75,-6.35
9725.9375,-6.33
9738.125,-6.32
9750.3125,-6.30
9762.5,-6.34
9774.6875,-6.35
9786.875,-6.36
9799.0625,-6.37
9811.25,-6.41
9823.4375,-6.46
9835.625,-6.49
9847.8125,-6.51
9860,-6.44
9872.1875,-6.39
9884.375,-6.36
9896.5625,-6.34
9908.75,-6.36
9920.9375,-6.31
9933.125,-6.29
9945.3125,-6.27
9957.5,-6.28
9969.6875,-6.26
9981.875,-6.27
9994.0625,-6.31
10006.25,-6.34
10018.4375,-6.39
10030.625,-6.41
10042.8125,-6.46
10055,-6.41
10067.1875,-6.42
10079.375,-6.42
10091.5625,-6.47
10103.75,-6.46
10115.9375,-6.45
10128.125,-6.41
10140.3125,-6.38
10152.5,-6.33
10164.6875,-6.35
10176.875,-6.37
10189.0625,-6.34
10201.25,-6.32
10213.4375,-6.30
10225.625,-6.31
10237.8125,-6.30
10250,-6.30
10262.1875,-6.30
10274.375,-6.32
10286.5625,-6.33
10298.75,-6.34
10310.9375,-6.35
10323.125,-6.35
10335.3125,-6.36
10347.5,-6.38
10359.6875,-6.39
10371.875,-6.39
10384.0625,-6.40
10396.25,-6.41
10408.4375,-6.38
10420.625,-6.38
10432.8125,-6.39
10445,-6.40
10457.1875,-6.40
10469.375,-6.39
10481.5625,-6.42
10493.75,-6.46
10505.9375,-6.48
10518.125,-6.50
10530.3125,-6.49
10542.5,-6.50
10554.6875,-6.54
10566.875,-6.58
10579.0625,-6.61
10591.25,-6.64
10603.4375,-6.63
10615.625,-6.65
10627.8125,-6.64
10640,-6.65
10652.1875,-6.64
10664.375,-6.63
10676.5625,-6.60
10688.75,-6.62
10700.9375,-6.57
10713.125,-6.60
10725.3125,-6.58
10737.5,-6.56
10749.6875,-6.58
10761.875,-6.61
10774.0625,-6.65
10786.25,-6.65
10798.4375,-6.65
10810.625,-6.64
10822.8125,-6.65
10835,-6.67
10847.1875,-6.70
10859.375,-6.68
10871.5625,-6.66
10883.75,-6.63
10895.9375,-6.66
10908.125,-6.69
10920.3125,-6.71
10932.5,-6.71
10944.6875,-6.73
10956.875,-6.75
10969.0625,-6.85
10981.25,-6.89
10993.4375,-6.93
11005.625,-6.93
11017.8125,-6.91
11030,-6.92
11042.1875,-6.93
11054.375,-6.95
11066.5625,-6.91
11078.75,-6.82
11090.9375,-6.74
11103.125,-6.71
11115.3125,-6.69
11127.5,-6.67
11139.6875,-6.69
11151.875,-6.74
11164.0625,-6.81
11176.25,-6.88
11188.4375,-6.98
11200.625,-7.01
11212.8125,-7.08
11225,-7.13
11237.1875,-7.16
11249.375,-7.24
11261.5625,-7.23
11273.75,-7.19
11285.9375,-7.11
11298.125,-7.02
11310.3125,-6.93
11322.5,-6.89
11334.6875,-6.84
11346.875,-6.82
11359.0625,-6.85
11371.25,-6.88
11383.4375,-6.96
11395.625,-7.05
11407.8125,-7.07
11420,-7.12
11432.1875,-7.18
11444.375,-7.27
11456.5625,-7.34
11468.75,-7.36
11480.9375,-7.31
11493.125,-7.25
11505.3125,-7.18
11517.5,-7.13
11529.6875,-7.12
11541.875,-7.06
11554.0625,-7.04
11566.25,-7.02
11578.4375,-7.00
11590.625,-7.06
11602.8125,-7.10
11615,-7.14
11627.1875,-7.18
11639.375,-7.22
11651.5625,-7.29
11663.75,-7.34
11675.9375,-7.37
11688.125,-7.31
11700.3125,-7.22
11712.5,-7.16
11724.6875,-7.08
11736.875,-7.09
11749.0625,-7.07
11761.25,-7.06
11773.4375,-7.02
11785.625,-7.03
11797.8125,-7.08
11810,-7.14
11822.1875,-7.19
11834.375,-7.24
11846.5625,-7.29
11858.75,-7.33
11870.9375,-7.38
11883.125,-7.37
11895.3125,-7.36
11907.5,-7.27
11919.6875,-7.23
11931.875,-7.20
11944.0625,-7.16
11956.25,-7.09
11968.4375,-7.04
11980.625,-7.02
11992.8125,-7.02
12005,-7.05
12017.1875,-7.09
12029.375,-7.12
12041.5625,-7.16
12053.75,-7.25
12065.9375,-7.33
12078.125,-7.37
12090.3125,-7.39
12102.5,-7.37
12114.6875,-7.38
12126.875,-7.37
12139.0625,-7.42
12151.25,-7.42
12163.4375,-7.37
12175.625,-7.30
12187.8125,-7.23
12200,-7.22
12212.1875,-7.24
12224.375,-7.22
12236.5625,-7.21
12248.75,-7.20
12260.9375,-7.19
12273.125,-7.24
12285.3125,-7.25
12297.5,-7.30
12309.6875,-7.30
12321.875,-7.32
12334.0625,-7.37
12346.25,-7.43
12358.4375,-7.50
12370.625,-7.57
12382.8125,-7.57
12395,-7.57
12407.1875,-7.61
12419.375,-7.65
12431.5625,-7.66
12443.75,-7.66
12455.9375,-7.61
12468.125,-7.61
12480.3125,-7.60
12492.5,-7.60
12504.6875,-7.58
12516.875,-7.55
12529.0625,-7.55
12541.25,-7.56
12553.4375,-7.63
12565.625,-7.67
12577.8125,-7.68
12590,-7.66
12602.1875,-7.65
12614.375,-7.64
12626.5625,-7.69
12638.75,-7.70
12650.9375,-7.68
12663.125,-7.62
12675.3125,-7.60
12687.5,-7.60
12699.6875,-7.61
12711.875,-7.60
12724.0625,-7.61
12736.25,-7.64
12748.4375,-7.70
12760.625,-7.80
12772.8125,-7.86
12785,-7.88
12797.1875,-7.84
12809.375,-7.82
12821.5625,-7.85
12833.75,-7.87
12845.9375,-7.87
12858.125,-7.81
12870.3125,-7.73
12882.5,-7.67
12894.6875,-7.62
12906.875,-7.59
12919.0625,-7.58
12931.25,-7.60
12943.4375,-7.64
12955.625,-7.72
12967.8125,-7.82
12980,-7.89
12992.1875,-7.95
13004.375,-7.99
13016.5625,-8.05
13028.75,-8.12
13040.9375,-8.20
13053.125,-8.24
13065.3125,-8.21
13077.5,-8.12
13089.6875,-8.04
13101.875,-7.97
13114.0625,-7.93
13126.25,-7.85
13138.4375,-7.79
13150.625,-7.67
13162.8125,-7.66
13175,-7.61
13187.1875,-7.60
13199.375,-7.58
13211.5625,-7.60
13223.75,-7.62
13235.9375,-7.64
13248.125,-7.68
13260.3125,-7.73
13272.5,-7.73
13284.6875,-7.76
13296.875,-7.76
13309.0625,-7.82
13321.25,-7.83
13333.4375,-7.87
13345.625,-7.80
13357.8125,-7.80
13370,-7.82
13382.1875,-7.86
13394.375,-7.85
13406.5625,-7.82
13418.75,-7.78
13430.9375,-7.74
13443.125,-7.79
13455.3125,-7.80
13467.5,-7.78
13479.6875,-7.74
13491.875,-7.74
13504.0625,-7.73
13516.25,-7.78
13528.4375,-7.80
13540.625,-7.78
13552.8125,-7.80
13565,-7.77
13577.1875,-7.71
13589.375,-7.79
13601.5625,-7.74
