Freq(MHz),Loss
500,0.8
800,0.8
900,1.0
1000,1.1
1100,1.1
1500,1.3
1600,1.3
1800,1.3
1900,1.4
2000,1.5
2100,1.5
2200,1.5
2300,1.6
2500,1.7
3000,1.8
3300,2.0
3800,2.0
4200,2.1
4400,2.5
5000,2.6
5200,2.7
5500,2.8
6000,3.0
