Freq(MHz),Loss
4290.3125,-4.57
4302.5,-4.62
4314.6875,-4.70
4326.875,-4.78
4339.0625,-4.83
4351.25,-4.85
4363.4375,-4.85
4375.625,-4.84
4387.8125,-4.83
4400,-4.82
4412.1875,-4.77
4424.375,-4.70
4436.5625,-4.65
4448.75,-4.62
4460.9375,-4.62
4473.125,-4.65
4485.3125,-4.68
4497.5,-4.73
4509.6875,-4.80
4521.875,-4.87
4534.0625,-4.92
4546.25,-4.95
4558.4375,-4.96
4570.625,-4.96
4582.8125,-4.96
4595,-4.93
4607.1875,-4.90
4619.375,-4.87
4631.5625,-4.85
4643.75,-4.85
4655.9375,-4.86
4668.125,-4.86
4680.3125,-4.86
4692.5,-4.86
4704.6875,-4.89
4716.875,-4.91
4729.0625,-4.92
4741.25,-4.90
4753.4375,-4.87
4765.625,-4.85
4777.8125,-4.83
4790,-4.83
4802.1875,-4.82
4814.375,-4.83
4826.5625,-4.84
4838.75,-4.86
4850.9375,-4.92
4863.125,-4.97
4875.3125,-5.00
4887.5,-5.02
4899.6875,-5.04
4911.875,-5.07
4924.0625,-5.10
4936.25,-5.12
4948.4375,-5.10
4960.625,-5.06
4972.8125,-5.02
4985,-5.00
4997.1875,-4.99
5009.375,-4.98
5021.5625,-4.97
5033.75,-4.93
5045.9375,-4.92
5058.125,-4.91
5070.3125,-4.91
5082.5,-4.92
5094.6875,-4.93
5106.875,-4.94
5119.0625,-4.97
5131.25,-5.01
5143.4375,-5.03
5155.625,-5.03
5167.8125,-5.03
5180,-5.03
5192.1875,-5.04
5204.375,-5.05
5216.5625,-5.05
5228.75,-5.04
5240.9375,-5.06
5253.125,-5.09
5265.3125,-5.13
5277.5,-5.16
5289.6875,-5.18
5301.875,-5.21
5314.0625,-5.25
5326.25,-5.30
5338.4375,-5.35
5350.625,-5.34
5362.8125,-5.31
5375,-5.26
5387.1875,-5.21
5399.375,-5.18
5411.5625,-5.15
5423.75,-5.11
5435.9375,-5.08
5448.125,-5.09
5460.3125,-5.13
5472.5,-5.20
5484.6875,-5.28
5496.875,-5.36
5509.0625,-5.46
5521.25,-5.55
5533.4375,-5.64
5545.625,-5.69
5557.8125,-5.68
5570,-5.62
5582.1875,-5.55
5594.375,-5.48
5606.5625,-5.42
5618.75,-5.36
5630.9375,-5.30
5643.125,-5.26
5655.3125,-5.25
5667.5,-5.29
5679.6875,-5.32
5691.875,-5.35
5704.0625,-5.40
5716.25,-5.48
5728.4375,-5.55
5740.625,-5.60
5752.8125,-5.57
5765,-5.52
5777.1875,-5.42
5789.375,-5.36
5801.5625,-5.31
