Freq(MHz),Loss
4302.5,-90.57
4314.6875,-87.87
4326.875,-83.58
4339.0625,-89.36
4351.25,-86.06
4363.4375,-86.86
4375.625,-90.42
4387.8125,-87.52
4400,-92.06
4412.1875,-82.42
4424.375,-85.79
4436.5625,-90.4
4448.75,-78.31
4460.9375,-85.42
4473.125,-81.72
4485.3125,-87.45
4497.5,-91.27
4509.6875,-84.54
4521.875,-89.21
4534.0625,-83.53
4546.25,-86.81
4558.4375,-93.35
4570.625,-83
4582.8125,-86.62
4595,-90.25
4607.1875,-83.34
4619.375,-87.47
4631.5625,-88.03
4643.75,-83.59
4655.9375,-104.37
4668.125,-84.29
4680.3125,-84.29
4692.5,-86.75
4704.6875,-84.35
4716.875,-86.83
4729.0625,-85.26
4741.25,-93.2
4753.4375,-88.53
4765.625,-96.02
4777.8125,-81.99
4790,-90.19
4802.1875,-87.05
4814.375,-87.68
4826.5625,-92.95
4838.75,-84.71
4850.9375,-88.38
4863.125,-83.1
4875.3125,-104.51
4887.5,-90.99
4899.6875,-87.86
4911.875,-84.59
4924.0625,-80.65
4936.25,-92.37
4948.4375,-97.39
4960.625,-82.38
4972.8125,-93.8
4985,-84.9
4997.1875,-87.46
5009.375,-82.4
5021.5625,-92
5033.75,-82.61
5045.9375,-88.05
5058.125,-95.54
5070.3125,-82.19
5082.5,-87.85
5094.6875,-88.97
5106.875,-95.23
5119.0625,-88.02
5131.25,-90.21
5143.4375,-89.22
5155.625,-93.28
5167.8125,-86.28
5180,-79.85
5192.1875,-93.79
5204.375,-83.78
5216.5625,-92.57
5228.75,-90.18
5240.9375,-83.33
5253.125,-89.49
5265.3125,-81.2
5277.5,-82.32
5289.6875,-90.29
5301.875,-110.85
5314.0625,-86.07
5326.25,-101.69
5338.4375,-88.8
5350.625,-100.66
5362.8125,-88.43
5375,-94.79
5387.1875,-84.23
5399.375,-93.94
5411.5625,-94.88
5423.75,-91.62
5435.9375,-95.24
5448.125,-87.04
5460.3125,-93.48
5472.5,-96.62
5484.6875,-85.12
5496.875,-84.15
5509.0625,-88.67
5521.25,-89.2
5533.4375,-89.48
5545.625,-89.5
5557.8125,-82.42
5570,-90.36
5582.1875,-88.1
5594.375,-91.6
5606.5625,-84.95
5618.75,-86.74
5630.9375,-81.13
5643.125,-93.37
5655.3125,-88.43
5667.5,-102
5679.6875,-91.3
5691.875,-89.01
5704.0625,-82.59
5716.25,-81.64
