Freq(MHz),Loss
4314.6875,-14.77
4326.875,-14.78
4339.0625,-14.75
4351.25,-14.73
4363.4375,-14.71
4375.625,-14.68
4387.8125,-14.67
4400,-14.67
4412.1875,-14.65
4424.375,-14.64
4436.5625,-14.62
4448.75,-14.6
4460.9375,-14.58
4473.125,-14.56
4485.3125,-14.54
4497.5,-14.53
4509.6875,-14.52
4521.875,-14.52
4534.0625,-14.55
4546.25,-14.57
4558.4375,-14.59
4570.625,-14.62
4582.8125,-14.64
4595,-14.66
4607.1875,-14.7
4619.375,-14.74
4631.5625,-14.76
4643.75,-14.79
4655.9375,-14.8
4668.125,-14.8
4680.3125,-14.78
4692.5,-14.78
4704.6875,-14.76
4716.875,-14.75
4729.0625,-14.75
4741.25,-14.74
4753.4375,-14.75
4765.625,-14.77
4777.8125,-14.79
4790,-14.82
4802.1875,-14.85
4814.375,-14.9
4826.5625,-14.95
4838.75,-15.01
4850.9375,-15.1
4863.125,-15.16
4875.3125,-15.23
4887.5,-15.27
4899.6875,-15.29
4911.875,-15.31
4924.0625,-15.34
4936.25,-15.35
4948.4375,-15.37
4960.625,-15.38
4972.8125,-15.37
4985,-15.37
4997.1875,-15.36
5009.375,-15.35
5021.5625,-15.35
5033.75,-15.36
5045.9375,-15.37
5058.125,-15.39
5070.3125,-15.41
5082.5,-15.42
5094.6875,-15.43
5106.875,-15.44
5119.0625,-15.44
5131.25,-15.44
5143.4375,-15.44
5155.625,-15.45
5167.8125,-15.46
5180,-15.46
5192.1875,-15.46
5204.375,-15.45
5216.5625,-15.45
5228.75,-15.45
5240.9375,-15.46
5253.125,-15.47
5265.3125,-15.49
5277.5,-15.49
5289.6875,-15.48
5301.875,-15.48
5314.0625,-15.47
5326.25,-15.45
5338.4375,-15.42
5350.625,-15.39
5362.8125,-15.35
5375,-15.3
5387.1875,-15.25
5399.375,-15.22
5411.5625,-15.19
5423.75,-15.16
5435.9375,-15.13
5448.125,-15.12
5460.3125,-15.12
5472.5,-15.12
5484.6875,-15.15
5496.875,-15.2
5509.0625,-15.23
5521.25,-15.26
5533.4375,-15.3
5545.625,-15.33
5557.8125,-15.34
5570,-15.35
5582.1875,-15.35
5594.375,-15.35
5606.5625,-15.33
5618.75,-15.32
5630.9375,-15.29
5643.125,-15.27
5655.3125,-15.22
5667.5,-15.19
5679.6875,-15.15
5691.875,-15.14
5704.0625,-15.14
5716.25,-15.15
5728.4375,-15.17
5740.625,-15.18
5752.8125,-15.18
5765,-15.2
5777.1875,-15.21
5789.375,-15.23
5801.5625,-15.26
5813.75,-15.28
5825.9375,-15.31
5838.125,-15.32
5850.3125,-15.33
5862.5,-15.34
5874.6875,-15.35
5886.875,-15.39
5899.0625,-15.4
5911.25,-15.45
5923.4375,-15.48
5935.625,-15.53
5947.8125,-15.57
5960,-15.62
5972.1875,-15.65
5984.375,-15.7
5996.5625,-15.72
6008.75,-15.74
6020.9375,-15.75
6033.125,-15.76
6045.3125,-15.77
6057.5,-15.75
6069.6875,-15.72
6081.875,-15.71
6094.0625,-15.69
6106.25,-15.67
6118.4375,-15.67
6130.625,-15.66
6142.8125,-15.68
6155,-15.7
6167.1875,-15.72
6179.375,-15.76
6191.5625,-15.79
6203.75,-15.82
6215.9375,-15.85
6228.125,-15.86
6240.3125,-15.87
6252.5,-15.87
6264.6875,-15.87
6276.875,-15.85
6289.0625,-15.82
6301.25,-15.76
6313.4375,-15.7
6325.625,-15.64
6337.8125,-15.58
6350,-15.55
6362.1875,-15.51
6374.375,-15.51
6386.5625,-15.48
6398.75,-15.48
6410.9375,-15.46
6423.125,-15.46
6435.3125,-15.47
6447.5,-15.48
6459.6875,-15.49
6471.875,-15.51
6484.0625,-15.51
6496.25,-15.51
6508.4375,-15.49
6520.625,-15.46
6532.8125,-15.43
6545,-15.41
6557.1875,-15.39
6569.375,-15.39
6581.5625,-15.38
6593.75,-15.37
6605.9375,-15.37
6618.125,-15.34
6630.3125,-15.34
6642.5,-15.34
6654.6875,-15.36
6666.875,-15.37
6679.0625,-15.39
6691.25,-15.39
6703.4375,-15.38
6715.625,-15.37
6727.8125,-15.34
6740,-15.34
6752.1875,-15.32
6764.375,-15.31
6776.5625,-15.29
6788.75,-15.3
6800.9375,-15.31
6813.125,-15.35
6825.3125,-15.37
6837.5,-15.42
6849.6875,-15.47
6861.875,-15.52
6874.0625,-15.59
6886.25,-15.66
6898.4375,-15.73
6910.625,-15.79
6922.8125,-15.83
6935,-15.87
6947.1875,-15.9
6959.375,-15.91
6971.5625,-15.92
6983.75,-15.9
6995.9375,-15.89
7008.125,-15.87
7020.3125,-15.86
7032.5,-15.84
7044.6875,-15.83
7056.875,-15.83
7069.0625,-15.83
7081.25,-15.84
7093.4375,-15.84
7105.625,-15.85
7117.8125,-15.89
7130,-15.93
7142.1875,-15.96
7154.375,-15.98
7166.5625,-15.97
7178.75,-15.95
7190.9375,-15.92
7203.125,-15.91
7215.3125,-15.91
7227.5,-15.9
7239.6875,-15.88
7251.875,-15.85
7264.0625,-15.81
7276.25,-15.79
7288.4375,-15.78
7300.625,-15.78
7312.8125,-15.8
7325,-15.82
7337.1875,-15.83
7349.375,-15.84
7361.5625,-15.82
7373.75,-15.8
7385.9375,-15.77
7398.125,-15.74
7410.3125,-15.71
7422.5,-15.69
7434.6875,-15.66
7446.875,-15.62
7459.0625,-15.57
7471.25,-15.51
7483.4375,-15.46
7495.625,-15.44
7507.8125,-15.44
7520,-15.47
7532.1875,-15.5
7544.375,-15.53
7556.5625,-15.55
7568.75,-15.56
7580.9375,-15.58
7593.125,-15.61
7605.3125,-15.63
7617.5,-15.64
7629.6875,-15.63
7641.875,-15.62
