Tech,Band,Genre,Modulation
GSM,850,32.5,GMSK
GSM,900,32.5,GMSK
GSM,1800,29.5,GMSK
GSM,1900,29.5,GMSK
GSM,850,29.5,EMSK
GSM,900,29.5,EPSK
GSM,1800,27.5,EPSK
GSM,1900,27.5,EPSK
